question,answer
Where can I enrol for Aadhaar?,"You have to visit an Aadhaar Enrolment centre set up by Enrolment Agency to enrol for Aadhaar. You can also search nearest Enrolment centre by clicking on Locate Enrolment Center or https://appointments.uidai.gov.in/easearch.aspx . You have to enter State, District and locality for finding the nearest enrolment centre."
What are the documents required for enrolment for Aadhaar?,"You need to fill up an application form available at Enrolment centre along with supporting documents which are Proof of Identity (PoI), Proof of Address (PoA), Proof of Relationship (PoR) and Date of Birth(DoB) document. UIDAI accepts 31 PoI and 44 PoA , 14 PoR and 14 DoB documents. View the nationally valid list of supporting documents."
Do I need to bring original documents for Aadhaar enrolment?,"Yes, you need to bring original copies of supporting documents for Aadhaar enrolment. These original copies will be scanned and handed back to you after the enrolment."
Do I have to pay any fee for Aadhaar enrolment?,"No, Aadhaar enrolment is totally free of cost therefore you need not pay anything at the enrolment centre."
What kind of data gets captured during Aadhaar Enrolment?,"There are two types of data gets captured for Aadhaar enrolment i.e. Demographic (Name, Gender, DoB, Address, Mobile number and email id) & Bioemtric (10 Finger Prints, Both Iris and photograph). Mobile number and email id are optional."
Is there any online method of getting Enroled for Aadhaar?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Can I get myself Enroled for Aadhaar just by sending required documents by Post?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
What if my demographic details mentioned on acknowledgement / enrolment slip are not matching with supporting documents?,You can get your details corrected within 96 hours of your enrolment. 96 hours window starts from the time stamp mentioned on your Enrolment Slip/ Acknowledgement slip.
How can I get the details corrected after 96 hours?,"If you are not able to get your details corrected in 96 hours window, you can get your details updated once your Aadhaar is generated."
Can I get Enroled for Aadhaar if any of my fingers or iris is missing?,"Yes, you can enrol for Aadhaar even if any or all fingers / Iris are missing. Aadhaar software has provisions to handle such exceptions."
Is it mandatory to provide mobile number or email for Aadhaar enrolment?,"No, it is not mandatory to provide mobile number or email for Aadhaar enrolment. But it is always recommended to provide mobile number and email so that you get updates regarding your Aadhaar application status."
Is there any age limit for Aadhaar enrolment?,"No, there is no age limit defined for Aadhaar Enrolment. Even a new born baby can also get Enroled for Aadhaar."
How much time it takes to get my Aadhaar generated after the enrolment?,It takes up to 90 days for Aadhaar generation from the date of enrolment.
Can I get my Aadhaar letter downloaded online after it is generated?,"Yes, once your Aadhaar is generated, you can always download e-Aadhaar letter by clicking on Download Aadhaar under Aadhaar Enrolment section on uidai.gov.in website."
Does the online downloaded Aadhaar letter have same validity as that of original?,"Yes, online downloaded e-Aadhaar letter has the same validity as that of original."
"I have lost my Enrolment ID slip/ Aadhaar letter, is there any way of finding the same?","Yes, In case your mobile number is registered in Aadhaar, you can find your Enrolment number (EID) or Aadhaar (UID) by clicking on Retrieve Lost UID/EID tab under Section Aadhaar enrolment on uidai.gov.in website or https://resident.uidai.gov.in/lost-uideid. Select EID/UID you want to retrieve and then enter your name and mobile number (as registered during Aadhaar enrolment). You will receive your EID/ Aadhaar number delivered on your email/ mobile number. In case your mobile number is not registered in Aadhaar, you have to visit nearest Permanent Aadhaar Enrolment centre."
I have Enroled for Aadhaar multiple times but have not received my Aadhaar letter. What should I do in this case?,"There are chances that your Aadhaar has been generated but you have not received Aadhaar letter by post. In this case, it is recommended to get your Aadhaar status checked, for all your EIDs, by clicking on Check Aadhaar Status or https://resident.uidai.gov.in/check-aadhaar or by visiting nearest Permanent Aadhaar Enrolment centre."
"I have received SMS on my mobile that my Aadhaar is rejected, what should I do?","Aadhaar generation involves various quality checks therefore there are chances that your Aadhaar gets rejected due to quality or any other technical reason. So if you have received SMS that your Aadhaar has been rejected, it is recommended to re-enrol yourself."
"I dont have required documents for enrolment of Aadhaar, can I still enroll?","Yes, even if someone in a family does not have required documents, the resident can still enrol if his/her name exists in family entitlement document. In this case the Head of Family in entitlement document needs to be Enroled first with valid PoI & PoA document and then other family members can enrol based on EID/Aadhaar number of head of family. UIDAI accepts 8 document types as Proof of Relationship (PoR). View the list of supporting documents."
